,returns,2005,2006,2007,2008,2009,2010,2011
0,R+1,1.0034419716264618,1.0045011506773915,0.9907251752976445,0.9643979454419985,1.0264785317980085,1.0184994226222381,1.0033555069652291
1,R+2,1.0094797371358284,1.002983383190735,0.9861548577234593,0.9482687329865193,1.048588303465398,1.0189159751876624,1.0026818235455186
2,R+3,1.0041434148832924,1.002410637434115,0.9849887519432019,0.9711993605117818,1.0397993940034989,1.01680735571295,1.0038129400548266
3,R+4,1.0132389155413195,1.0048330001393395,0.9889851089829731,0.9824713050482771,1.0285357435985458,1.0148348623705752,1.0025591853640214
4,R+5,0.9951540446981191,1.0105125561823052,0.9884274638037411,0.9807771411511298,1.0204927436980424,1.0191784750556556,0.9975144611968241
5,R+6,0.9948658078118122,1.0106201050038692,0.9810227053042924,0.9911433502438104,1.0157624317461749,1.02277098267784,1.0027212033385795
6,R+7,0.99408148962353,1.002741042925897,0.9875982681150213,1.0023071723226096,1.0130435327270952,1.0137528729144012,1.0044480585556128
7,R+8,0.9986737713824275,1.003809293857692,0.9891188036525608,1.0064021556338045,1.0044846227985642,1.0143133454137452,1.0076346695856937
8,R+9,1.0080846117146696,1.0008479055252275,0.9833654219262888,1.014137996194958,1.010099266360862,0.999942538581348,1.017312049711617
9,R+10,1.0109139649823964,0.9978263374978,0.9589410058101094,1.0359371968434887,1.01611145128436,1.0072176649050004,1.007672373676449
10,R+11,1.012716844064588,0.993118488327852,0.9684470987584215,1.039088142571471,1.0156355230393024,1.0054110684166178,1.0076088755806647
11,R+12,1.0084657674506823,0.9886009249923952,0.96123394743033,1.045516655020119,1.0152700445726233,1.00065730830331,1.009278526934895
